Red_id,Zomato Link,Zomato Fallback Link,Restaurant Name,Location,swiggy res id
43836,z.tt/r/43836,Zoma.to/r/43836,Facing East,Vile Parle West,https://www.swiggy.com/city/mumbai/facing-east-juhu-rest38376
20185195,z.tt/r/20185195,Zoma.to/r/20185195,Fud 2 Hom,Virar,https://www.swiggy.com/restaurants/fud-2-hom-virar-virar-519600/dineout
18627467,z.tt/r/18627467,Zoma.to/r/18627467,Ram Punjab Restaurant,Mira Road East,https://www.swiggy.com/city/mumbai/karishma-family-restaurant-mira-bhayandar-mira-road-rest42193
20173554,z.tt/r/20173554,Zoma.to/r/20173554,Cheelizza - India Ka Pizza,Andheri West,https://www.swiggy.com/city/mumbai/cheelizza-india-ka-pizza-near-station-andheri-west-rest502074
19505864,z.tt/r/19505864,Zoma.to/r/19505864,Fusion Chowk,Vileparle East,Page Not Found
18962554,z.tt/r/18962554,Zoma.to/r/18962554,Al Kebabi,Byculla,https://www.swiggy.com/city/mumbai/al-kebabi-mumbai-central-rest170167
21992187,z.tt/r/21992187,Zoma.to/r/21992187,The Croffle Guys,Santacruz West,https://www.swiggy.com/restaurants/the-croffle-guys-santacruz-west-mumbai-1230372/dineout
46412,z.tt/r/46412,Zoma.to/r/46412,Sunrise Restaurant,Mira Road East,https://www.swiggy.com/city/mumbai/sunrise-restaurant-mira-road-rest758048
19158969,z.tt/r/19158969,Zoma.to/r/19158969,The Plush Multicuisine,Hiranandani Estate,Page Not Found
19965272,z.tt/r/19965272,Zoma.to/r/19965272,Friends Circle,Kopar Khairane (Navi Mumbai),Page Not Found
41168,z.tt/r/41168,Zoma.to/r/41168,Sukh Sagar Juice,Tardeo,https://www.swiggy.com/city/mumbai/sukh-sagar-juice-sukh-sagar-bldg-sukh-sagar-juice-rest803631
21474276,z.tt/r/21474276,Zoma.to/r/21474276,"MAHARAJAS - KEBABS, BIRYANI AND CURRIES",Malad West,https://www.swiggy.com/restaurants/maharajas-kebabs-biryani-and-curries-malad-west-mumbai-1016778/dineout
18739349,z.tt/r/18739349,Zoma.to/r/18739349,Flavours 21,Goregaon East,https://www.swiggy.com/restaurants/flavours-of-calcutta-malad-kandivali-malad-kan-east-9312/dineout
19846211,z.tt/r/19846211,Zoma.to/r/19846211,Nityanand Lunch Home,Goregaon East,https://www.swiggy.com/city/mumbai/nityanand-lunch-home-and-hotel-goregaon-east-rest109887
18412811,z.tt/r/18412811,Zoma.to/r/18412811,Pizzaah! District,Kandivali West,Page Not Found
34810,z.tt/r/34810,Zoma.to/r/34810,Fire Bowl,Andheri West,https://www.swiggy.com/city/mumbai/fire-bowl-yari-road-versova-rest39791
18714659,z.tt/r/18714659,Zoma.to/r/18714659,The Bawa Kitchen,Vile Parle West,https://www.swiggy.com/city/mumbai/vileparlewest-restaurants/biryani-cuisine-order-online
20735367,z.tt/r/20735367,Zoma.to/r/20735367,Tibb's Frankie - Serving Rolls Since 1969,Mahim,Page Not Found
18885609,z.tt/r/18885609,Zoma.to/r/18885609,D Light Cake Shop,Andheri West,https://www.swiggy.com/city/mumbai/d-light-cake-shop-cozy-home-andheri-west-rest186794
19617115,z.tt/r/19617115,Zoma.to/r/19617115,King Of Chinese,Byculla,Page Not Found
21630655,z.tt/r/21630655,Zoma.to/r/21630655,Raju's Kitchen,Goregaon West,https://www.swiggy.com/city/mumbai/rajus-kitchen-veg-restaurant-goregaon-west-rest1030227
21825452,z.tt/r/21825452,Zoma.to/r/21825452,Luckhnowi Sikh Paratha,Nalasopara,Page Not Found
19573447,z.tt/r/19573447,Zoma.to/r/19573447,Nothing But Chicken,Malad West,https://www.swiggy.com/city/mumbai/nothing-but-chicken-gautam-buddha-marg-malad-west-rest340800
35851,z.tt/r/35851,Zoma.to/r/35851,Peppr Pinch,Andheri West,https://www.swiggy.com/city/mumbai/peppr-pinch-7-bungalows-andheri-west-rest12426
20583150,z.tt/r/20583150,Zoma.to/r/20583150,Shalimar Restaurant,Kurla West,https://www.swiggy.com/city/mumbai/shalimar-restaurant-kurla-rest1038053
20464924,z.tt/r/20464924,Zoma.to/r/20464924,The Shawarma Hub,Naupada,Page Not Found
19532180,z.tt/r/19532180,Zoma.to/r/19532180,Deliure & The Eatrium,Thane West,https://www.swiggy.com/restaurants/deliure-and-the-eatrium-thane-west-mumbai-230787/menu
19914624,z.tt/r/19914624,Zoma.to/r/19914624,Monopoly - The Chinese Edition,Borivali West,Page Not Found
18580152,z.tt/r/18580152,Zoma.to/r/18580152,1441 Pizzeria,Malad West,https://www.swiggy.com/city/mumbai/1441-pizzeria-malad-west-rest47631
18532715,z.tt/r/18532715,Zoma.to/r/18532715,Ustaadi,Fort,https://www.swiggy.com/restaurants/ustaadi-fort-mumbai-901624/dineout
20159621,z.tt/r/20159621,Zoma.to/r/20159621,Jimis Burger,Goregaon East,https://www.swiggy.com/city/mumbai/jimis-burger-malad-west-rest31918
20560445,z.tt/r/20560445,Zoma.to/r/20560445,Baba Falooda,Mira Road East,https://www.swiggy.com/city/mumbai/boba-falooda-mira-road-rest1016849
49667,z.tt/r/49667,Zoma.to/r/49667,The Third House,Andheri West,https://www.swiggy.com/city/mumbai/the-third-house-andheri-lokhandwala-rest51016
20391677,z.tt/r/20391677,Zoma.to/r/20391677,Flax - Healthy Living,Andheri West,https://www.swiggy.com/city/mumbai/flax-healthy-living-andheri-lokhandwala-rest591107
19744886,z.tt/r/19744886,Zoma.to/r/19744886,Hotel Shailesh,"Palava Lakeshore,Mumbai",https://www.swiggy.com/city/mumbai/hotel-shailesh-dombivli-east-rest573359
20584309,z.tt/r/20584309,Zoma.to/r/20584309,King Chinese,Chembur,https://www.swiggy.com/city/mumbai/king-chinese-suman-nagar-chembur-rest693071
17754651,z.tt/r/17754651,Zoma.to/r/17754651,Malhar Lunch Home,Mira Road East,https://www.swiggy.com/city/mumbai/malhar-tribes-coastal-mira-road-mira-road-rest39885
18505352,z.tt/r/18505352,Zoma.to/r/18505352,Shantanu,Naupada,https://www.swiggy.com/city/mumbai/shantanu-family-restaurant-hiranandani-estate-thane-hiranandani-estate-rest17193
